id,codigo,nome,tipo,ativo,ID_CORBAN,DIVISAO,createdAt,updatedAt
167,yc2,ANUNCIO 2 CLT YOUTUBE,TRAFEGO,true,7832,,2026-02-12T21:17:49.158Z,2026-04-14T12:39:35.106Z
168,br1,BR NOTICIAS,INFLUENCER,true,7850,,2026-02-13T19:49:35.568Z,2026-02-13T19:50:21.113Z
169,af17,ANUNCIO 17 FGTS,TRAFEGO,true,7866,,2026-02-18T16:12:52.164Z,2026-04-14T12:39:36.237Z
170,af18,ANUNCIO 18 FGTS,TRAFEGO,true,7867,,2026-02-18T16:13:37.492Z,2026-04-14T12:39:37.798Z
171,af19,ANUNCIO 19 FGTS,TRAFEGO,true,7868,,2026-02-18T16:13:55.894Z,2026-04-14T12:39:38.823Z
172,af20,ANUNCIO 20 FGTS,TRAFEGO,true,7869,,2026-02-18T16:14:38.118Z,2026-04-14T12:39:40.491Z
173,af21,ANUNCIO 21 FGTS,TRAFEGO,true,7870,,2026-02-18T16:15:48.415Z,2026-04-14T12:39:41.505Z
174,af22,ANUNCIO 22 FGTS,TRAFEGO,true,7871,,2026-02-18T16:16:00.607Z,2026-04-14T12:39:42.520Z
175,ac17,ANUNCIO CLT 17,TRAFEGO,true,7872,,2026-02-18T16:20:30.383Z,2026-04-14T12:39:44.064Z
176,ac18,ANUNCIO CLT 18,TRAFEGO,true,7873,,2026-02-18T16:21:06.947Z,2026-04-14T12:39:45.768Z
177,ac19,ANUNCIO CLT 19,TRAFEGO,true,7874,,2026-02-18T16:22:21.684Z,2026-04-14T12:39:46.867Z
178,ac20,ANUNCIO CLT 20,TRAFEGO,true,7875,,2026-02-18T16:22:34.244Z,2026-04-14T12:39:47.987Z
179,ac21,ANUNCIO CLT 21,TRAFEGO,true,7876,,2026-02-18T16:23:19.217Z,2026-04-14T12:39:49.222Z
180,ac22,ANUNCIO CLT 22,TRAFEGO,true,7877,,2026-02-18T16:24:27.715Z,2026-04-14T12:39:50.335Z
181,ab1,ANUNCIO 1 BOLSA,TRAFEGO,true,7900,,2026-02-19T20:35:06.718Z,2026-05-25T21:01:29.875Z
182,ab2,ANUNCIO 2 BOLSA,TRAFEGO,true,7901,AB,2026-02-19T20:35:43.504Z,2026-05-25T21:01:15.733Z
183,ab3,ANUNCIO 3 BOLSA,TRAFEGO,true,7902,AB,2026-02-19T20:35:58.192Z,2026-05-25T21:01:19.593Z
184,ab4,ANUNCIO 4 BOLSA,TRAFEGO,true,7903,AB,2026-02-19T20:36:35.244Z,2026-05-25T21:01:16.737Z
185,ab5,ANUNCIO 5 BOLSA,TRAFEGO,true,7904,AB,2026-02-19T20:36:46.940Z,2026-05-25T21:01:14.146Z
186,ab6,ANUNCIO 6 BOLSA,TRAFEGO,true,7905,AB,2026-02-19T20:36:59.044Z,2026-05-25T21:01:18.447Z
187,ab7,ANUNCIO 7 BOLSA,TRAFEGO,true,7911,AB,2026-02-20T14:31:15.125Z,2026-05-25T21:01:21.010Z
188,ab8,ANUNCIO 8 BOLSA,TRAFEGO,true,7912,AB,2026-02-20T14:31:56.810Z,2026-05-25T21:01:33.055Z
189,ab9,ANUNCIO 9 BOLSA,TRAFEGO,true,7913,AB,2026-02-20T15:47:12.477Z,2026-05-25T21:01:35.265Z
190,ab10,ANUNCIO 10 BOLSA,TRAFEGO,true,7914,AB,2026-02-20T15:48:03.083Z,2026-05-25T21:01:22.248Z
191,ab11,ANUNCIO 11 BOLSA,TRAFEGO,true,7916,AB,2026-02-20T15:48:39.053Z,2026-05-25T21:01:36.048Z
192,ab12,ANUNCIO 12 BOLSA,TRAFEGO,true,7917,AB,2026-02-20T15:49:06.674Z,2026-05-25T21:01:37.568Z
193,ab13,ANUNCIO 13 BOLSA,TRAFEGO,true,7918,AB,2026-02-20T15:49:28.089Z,2026-05-25T21:01:39.818Z
194,ab14,ANUNCIO 14 BOLSA,TRAFEGO,true,7919,AB,2026-02-20T15:49:48.351Z,2026-05-25T21:01:40.487Z
195,ab15,ANUNCIO 15 BOLSA,TRAFEGO,true,7920,AB,2026-02-20T15:50:05.162Z,2026-05-25T21:01:42.294Z
196,ab16,ANUNCIO 16 BOLSA,TRAFEGO,true,7922,AB,2026-02-20T15:50:23.568Z,2026-05-25T21:01:44.247Z
197,ab17,ANUNCIO 17 BOLSA,TRAFEGO,true,7923,AB,2026-02-20T15:50:59.650Z,2026-05-25T21:01:44.967Z
198,ab18,ANUNCIO 18 BOLSA,TRAFEGO,true,7924,AB,2026-02-20T15:51:14.163Z,2026-05-25T21:01:48.952Z
199,ab19,ANUNCIO 19 BOLSA,TRAFEGO,true,7925,AB,2026-02-20T15:51:40.768Z,2026-05-25T21:01:54.080Z
200,ab20,ANUNCIO 20 BOLSA,TRAFEGO,true,7926,AB,2026-02-20T15:52:06.598Z,2026-05-25T21:01:56.006Z
201,ct1,ANUNCIO 1 CLT WHATS,TRAFEGO,true,7980,,2026-02-27T18:19:32.262Z,2026-04-14T12:40:19.842Z
202,ct2,ANUNCIO 2 CLT WHATS,TRAFEGO,true,7981,,2026-02-27T18:20:41.318Z,2026-04-14T12:40:20.941Z
203,ct3,ANUNCIO 3 CLT WHATS,TRAFEGO,true,7982,,2026-02-27T18:20:53.181Z,2026-04-14T12:40:22.410Z
204,ft1,ANUNCIO 1 FGTS WHATS,TRAFEGO,true,7983,,2026-02-27T18:21:11.830Z,2026-04-14T12:40:27.653Z
205,ft2,ANUNCIO 2 FGTS WHATS,TRAFEGO,true,7984,,2026-02-27T18:21:56.096Z,2026-04-14T12:40:29.370Z
206,ft3,ANUNCIO 3 FGTS WHATS,TRAFEGO,true,7985,,2026-02-27T18:22:09.139Z,2026-04-14T12:40:30.735Z
207,ia1,INSTAGRAM ARRAIS,INFLUENCER,true,7986,,2026-02-27T20:07:03.774Z,2026-02-27T20:08:05.135Z
208,e7,ELIZETE,INFLUENCER,true,8122,,2026-03-09T18:14:51.782Z,2026-03-09T18:15:07.412Z
209,sf1,SMS FGTS,REMARKETING,true,8126,,2026-03-10T12:46:15.530Z,2026-04-14T12:40:39.987Z
210,sc1,SMS CLT,REMARKETING,true,8127,,2026-03-10T12:47:01.333Z,2026-04-14T12:40:41.735Z
211,sb1,SMS BOLSA,REMARKETING,true,8129,,2026-03-10T14:19:54.995Z,2026-04-14T12:40:42.749Z
212,b07,DISPARO BROTHERS,REMARKETING,true,8157,,2026-03-12T19:49:52.921Z,2026-04-14T12:40:45.426Z
214,f5,FOCO NOTICIAS,INFLUENCER,true,"8393
",,2026-03-20T16:23:17.683Z,2026-03-20T16:23:52.267Z
215,d5,DIOGO DO BOLSA,INFLUENCER,true,8394,,2026-03-20T16:47:17.894Z,2026-03-20T16:47:57.522Z
216,ab0,ANUNCIO 0 BOLSA,TRAFEGO,true,8575,AB,2026-03-23T13:26:36.138Z,2026-05-25T21:01:57.387Z
